match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_aerialLost,stat_challengeLost,stat_penaltyWon,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
14572774,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2414,M,78152,EUR,699062400,G,26,26,False,19.0,11.0,10.0,2.0,0.0,10.0,12.0,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,90.0,25.0,6.1,8.0,0.00218522,0.4,0,-0.0759,0.07,0.01,-0.31,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5082,M,836168,EUR,876614400,D,31,31,False,50.0,45.0,4.0,3.0,0.0,29.0,30.0,16.0,20.0,4.0,5.0,,,,,,90.0,60.0,6.8,5.0,0.0344517,,1,,0.16,0.1,-0.47,,milenkovicn_4,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2184,0.7371,0.32,,,,,,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Morato,morato,F. Morato,D,4,190,2243,M,985086,EUR,993859200,D,4,4,False,68.0,60.0,5.0,4.0,0.0,41.0,44.0,19.0,24.0,4.0,4.0,,,,,,90.0,83.0,6.6,10.0,0.0702779,,0,,0.16,0.11,-0.49,,,,,3.0,2.0,9.0,1.0,,,1.0,,,,5.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9927,M,1199282,EUR,1025740800,D,5,5,False,11.0,9.0,3.0,1.0,0.0,7.0,7.0,2.0,4.0,,,,,,,,28.0,17.0,6.1,2.0,0.00071595,,0,,0.01,0.01,-0.4,,murillosantiago40,,,,2.0,3.0,,,,2.0,,,,1.0,1.0,,2.0,,Murillo,,,,,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4722,M,944327,EUR,972432000,M,14,14,False,21.0,15.0,1.0,,0.0,3.0,3.0,12.0,18.0,2.0,5.0,,,,,,90.0,47.0,7.6,12.0,0.0635046,,3,,-0.06,0.3,-0.02,,,1.0,1.0,,5.0,6.0,6.0,3.0,2.0,2.0,0.2884,0.9337,0.49,3.0,2.0,3.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
14572774,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7782,M,994546,EUR,1036540800,M,8,8,False,63.0,58.0,1.0,1.0,0.0,14.0,15.0,44.0,48.0,,6.0,,,,,,90.0,98.0,7.7,15.0,0.193033,,3,,0.25,0.43,-0.28,,,10.0,2.0,,6.0,12.0,3.0,3.0,1.0,4.0,0.1268,0.03,-0.31,1.0,,1.0,8.0,6.0,,,,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,
14572774,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10122,M,843754,EUR,881020800,M,6,6,False,64.0,56.0,3.0,3.0,0.0,32.0,32.0,24.0,32.0,2.0,7.0,,,,,,90.0,81.0,7.2,13.0,0.361106,,1,,0.4,0.26,-0.16,,ibrahim_sangare,1.0,,1.0,4.0,5.0,2.0,2.0,,2.0,0.0265,,-0.09,2.0,1.0,3.0,,2.0,,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,,,
14572774,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3207,M,927356,EUR,987120000,M,3,3,False,52.0,45.0,4.0,1.0,0.0,15.0,17.0,30.0,35.0,,6.0,,,,,,90.0,76.0,6.5,12.0,0.0219436,,3,,-0.26,0.43,-0.28,,,3.0,,1.0,6.0,5.0,,,2.0,,0.1046,0.1016,-0.3,3.0,3.0,,1.0,1.0,,,,,,2.0,3.0,,,,1.0,1.0,1.0,,,,,
14572774,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6989,M,865912,EUR,948931200,F,10,10,False,38.0,33.0,1.0,1.0,1.0,7.0,7.0,26.0,31.0,2.0,3.0,,,,,,90.0,65.0,6.2,17.0,0.0943781,,2,,0.13,0.17,-0.01,,Morgangibbs27,2.0,1.0,1.0,12.0,3.0,3.0,,1.0,1.0,0.1738,0.1064,-0.35,2.0,2.0,5.0,,2.0,,,1.0,1.0,,4.0,1.0,,,,1.0,3.0,,True,1.0,,,
14572774,home,Nottingham Forest,Igor Jesus,igor-jesus,I. Jesus,F,19,179,20950,M,981619,EUR,983059200,F,19,19,False,15.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,10.0,1.0,1.0,,,,,,75.0,28.0,6.7,5.0,0.0348789,,4,,0.1,0.03,-0.01,,igorjesus,,,3.0,4.0,5.0,1.0,,1.0,1.0,0.172,0.0248,-0.41,,,2.0,2.0,,,,,,,1.0,,,,,,1.0,3.0,,,,,
